url,title,description,timestamp,status_code,content_length,depth
https://tv.google/?utm_source=about.google&utm_medium=referral&utm_campaign=productslist,Google TV | All in one smart TV streaming platform,"Your favorite streaming apps for movies, shows, live TV, and more, on one platform. Built right into your smart TV or streaming device, Google TV is your new home for all the content you love.",1774270767.7690458,200,395928,4
https://pixel.google/business/?utm_source=about.google&utm_medium=referral&utm_campaign=productslist,The Google phone. Built for business. — Pixel for Business,Secure. Seamless. Helpful. Pixel has the tools you need for your team in one powerful device.,1774270767.7307878,200,226607,4
https://swift.org,Swift Programming Language,"Tools for Linux, macOS, and Windows",1774270753.0688555,200,34372,5
https://vitaalere.com.br/,"Vita Alere – Pioneiro na área, o Vita Alere oferece diversas atividades de prevenção e posvenção, que incluem atendimentos, cursos, consultorias, palestras, posvenção em escolas, dentre outros serviços.","Bem-vindos ao nosso instituto, onde nosso compromisso e dedicação se traduzem em acolhimento genuíno e apoio efetivo.",1774270741.9245555,200,267812,6
http://www.claranet.fr/,"Cloud, Data & IA, Sécurité, Application - Accueil du site | Claranet","Claranet : Cloud, Data & IA, Cybersécurité, Application, Conformité. Conception, implémentation et gestion de solutions IT innovantes pour votre entreprise.",1774270775.5668128,200,86371,5
https://www.thesill.com/,The Sill | Indoor Houseplants & Outdoor Plants for Sale Online,"Nationwide plant delivery of indoor plants, outdoor plants, fruit bushes, and fast-growing trees. Easy-care, low-light, and pet-friendly houseplants for beginners.",1774270764.0489445,200,1145292,6
https://chromeos.google/?utm_source=about.google&utm_medium=referral&utm_campaign=productslist,"ChromeOS - The Cloud-First, Secure OS for your Business","Discover ChromeOS, the secure cloud-first operating system that keeps your business moving and provides employees with a modern experience.",1774270767.9119372,200,483820,4
https://brooklinen.com/,"Luxury Bedding, Sheets & Comforters Online | Brooklinen","Discover Brooklinen’s premium bedding collection. Shop soft sheets, cozy comforters, and soft & firm supportive pillows designed for the best night’s sleep.",1774270764.0608935,200,1264448,6
https://www.shopifyacademy.com,Shopify Academy,Build your skills with free education. Stand out by earning credentials.,1774270764.0790172,200,1252901,6
https://ai.google.dev/?utm_source=about.google&utm_medium=referral&utm_campaign=productslist,Gemini Developer API | Gemma open models  |  Google AI for Developers,"Build with Gemini 2.0 Flash, 2.5 Pro, and Gemma using the Gemini API and Google AI Studio.",1774270767.9122477,200,273632,4
https://dev.to/t/vue,Vue - DEV Community,vue content on DEV Community,1774270742.4018543,200,171081,4
https://informeddelivery.usps.com/box/pages/intro/start.action,Informed Delivery,USPS Informed Delivery,1774270758.3014076,200,1276,4
https://society6.com/louijoverart?curator=wordsnquotes,"Shop by Artist
 – Society6","Shop by Artist Discover unique creators and explore their collections. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Artist Name 1 Lorem ipsum dolor sit amet. Artist Name 2 Lorem ipsum dolor sit amet. Artist Name 3 Lorem ipsum dolor sit amet. Artist Name 4 Lorem ipsum dolor sit amet. Artist Name 5 Lorem ipsum dolor sit amet. Artist Name 6 Lorem ipsum dolor sit amet.",1774270775.6932654,200,803888,5
https://deepmind.google/?utm_source=about.google&utm_medium=referral&utm_campaign=footer,Google DeepMind,"Artificial intelligence could be one of humanity’s most useful inventions. We research and build safe artificial intelligence systems. We're committed to solving intelligence, to advance science and …",1774270753.1048608,200,342912,4
https://www.pinterest.com.au/childmindinstitute/_created/,Pinterest,"Discover recipes, home ideas, style inspiration and other ideas to try.",1774270775.5046139,200,789997,7
https://staysafeonline.dojiggyengage.com/,National Cyber Security Alliance,Showing 1–10 of 49 results,1774270780.1324222,200,75463,4
https://joinmastodon.org/apps,Get an app for Mastodon - Mastodon,Browse official and third-party apps for the decentralized social network Mastodon,1774270747.5182981,200,192053,4
https://youareokay.org/,Mental Health Resources for Teens | You Are Okay,"Find real, relatable mental health support made for you. No judgment, just expert-backed guidance, stories, and tools to help you navigate life’s challenges. You’re not alone—we’re in it together.",1774270775.4822037,200,338825,7
https://shop.a-morir.com/,A-Morir | The Original Embellished Eyewear And Accessories,"A-Morir has been pioneering the embellished eyewear trend since 2008. Rocked by Rihanna, loved by Lady Gaga & a magazine mainstay. Starting off our 10th year in business with the addition of accessories and objects. Made in NYC",1774270764.0731394,200,429867,6
http://studio.mattrunks.com/,Point Flottant - Motion Design & 3D Animation Studio,"Point Flottant is a Motion Design studio in love with animation & technology. Based in Paris, we've been producing exciting 3D animations for 10 years.",1774270775.6627114,200,69572,5
https://onlyny.com/,Only NY,"Independent clothing brand driven and inspired by the City, Outdoors, and Arts. Established 2007, New York City.",1774270764.058176,200,233795,6
https://youtu.be/Bi82WE7HQU0,Enabling inclusive hybrid meetings with Microsoft Teams and Teams devices | OD104 - YouTube,"The shift to remote work is one of the most significant changes in work culture since the Industrial Revolution. In the complex world of hybrid work, it will...",1774270745.9989154,200,1265428,4
